ids,artists,mediums,titles,descriptions,urls
ger_509,Paul Klee,Pen and black ink (recto) and watercolor (verso) on ivory laid paper,Study Sheet (recto); Untitled (verso),,https://www.artic.edu/artworks/150807/study-sheet-recto-untitled-verso
ger_510,"Lucas Cranach, the Elder","Engraving in black on cream laid paper, laid down on cream laid paper",The Penitence of Saint John Chrysostom,,https://www.artic.edu/artworks/4027/the-penitence-of-saint-john-chrysostom
ger_511,,Steel and leather,Infantry Armor,,https://www.artic.edu/artworks/116358/infantry-armor
ger_512,Johann Theodor de Bry,Engraving in black on ivory laid paper,"The Temptation of Saint Anthony, plate 16 from the Emblemata Secularia",,https://www.artic.edu/artworks/40834/the-temptation-of-saint-anthony-plate-16-from-the-emblemata-secularia
ger_513,Martin Schongauer,Engraving on paper,St. Agnes,,https://www.artic.edu/artworks/3936/st-agnes
ger_514,Paul Klee,"Watercolor, over graphite, on off-white wove paper, hinged on cream wove card",Painter’s Studio,,https://www.artic.edu/artworks/83814/painter-s-studio
ger_515,Hans Sebald Beham,Engraving in black on ivory laid paper,"Hercules and the Hydra, from The Labors of Hercules",,https://www.artic.edu/artworks/106689/hercules-and-the-hydra-from-the-labors-of-hercules
ger_516,Umbo (Otto Umbehr),Gelatin silver print,Untitled,"After studying at the Bauhaus, Otto Umbehr, who was known professionally as Umbo, worked in film production, in an arts and crafts workshop, and even as a clown. In 1928 he joined Dephot, a German photojournalism agency, and continued working as a freelance photographer for the majority of his career. Umbo’s works were known for their dark humor, seen here as a mannequin’s molded legs and feathery slippers are transformed from elements of consumer display into symbols of erotic dismemberment. Through such images Umbo’s work was linked to the avant-garde interest in animated puppets or automatons as surrogates for human desire, an interest cultivated by German writers and artists in the 1910s and 1920s and embraced by the nascent Surrealist movement in the mid-1920s. In 1932, New York art dealer Julien Levy featured Umbo’s work in one of the first Surrealist exhibitions in the United States.",https://www.artic.edu/artworks/50194/untitled
ger_517,Wolfgang Tillmans,Chromogenic print,Arctic,,https://www.artic.edu/artworks/181123/arctic
ger_518,Otto Mueller,Lithograph in black on cream Japanese paper,Nude Girl Under Trees,,https://www.artic.edu/artworks/27081/nude-girl-under-trees
ger_519,Albrecht Dürer,Woodcut in black on ivory laid paper,"The Crucifixion, from The Large Passion",,https://www.artic.edu/artworks/4120/the-crucifixion-from-the-large-passion
ger_520,Hannah Höch,Collage composed of cut and pasted printed and painted elements on tan wove paper,Of Delicate Things,"From 1916 to 1926 Höch worked in the handicrafts department of a German publishing house, designing patterns for embroidered and lace fabrics. During this time she also practiced collage as a fine-art form, eventually joining other Dada artists in Germany to make collages using a socio-political vocabulary that was quite distinct from the formalism of Cubist collage.",https://www.artic.edu/artworks/186087/of-delicate-things
ger_521,Franz Marc,"Pen and brush and black ink and gray wash, with graphite, on tan wove paper",Horse,,https://www.artic.edu/artworks/186111/horse
ger_522,,Steel,Sallet,"In 15th-century Germany, the sallet was the most common helmet. This example is now missing a front visor that pivoted on two holes over the temples. Its deep, rounded form offered superior protection for the head and deflected blows away from the neck and shoulders. The design was so effective that sallets like this inspired the German helmet used in World War I and II.",https://www.artic.edu/artworks/112067/sallet
ger_523,Lotte Stam-Beese,Gelatin silver print,Portrait of Lis Beyer-Volger,"From 1926 to 1928 Lotte Stam–Beese studied textile design and architecture at the Bauhaus in Weimar, Germany, a school founded in 1919 where painting and sculpture were taught alongside more practical art forms such as weaving, design, and architecture. Rather surprisingly, courses in photography were, not offered at the Bauhaus until 1929, but many students and faculty nevertheless spent time experimenting with the camera. Stam–Beese’s hazy portrait of fellow textile student Elizabeth (Lis) Beyer— who later married Hans Volger, another Bauhaus student—transforms a casual snapshot into a bold artistic composition. By dramatically cropping Beyer within a diagonal and abstracting most of her body behind a frosted windowpane, Stam–Beese lent an emphatic sense of lift and movement to the picture. Many at the Bauhaus adopted such an approach, which spread from the school and others to become broadly popular in central Europe and beyond during the 1930s.",https://www.artic.edu/artworks/69051/portrait-of-lis-beyer-volger
ger_524,Paul Klee,"Lithograph on cream, imitiation Japanese paper",Donkey,,https://www.artic.edu/artworks/109379/donkey
ger_525,,"Steel, brass, gilding, and textile",Zischägge (Helmet),,https://www.artic.edu/artworks/112113/zischagge-helmet
ger_526,"Israhel van Meckenem, the younger",Engraving on ivory laid paper,The Madonna of the Rosary,,https://www.artic.edu/artworks/3752/the-madonna-of-the-rosary
ger_527,Albrecht Dürer,Engraving in black on ivory laid paper,Cardinal Albrecht of Brandenburg (The Great Cardinal),,https://www.artic.edu/artworks/4112/cardinal-albrecht-of-brandenburg-the-great-cardinal
ger_528,,Steel,Close Helmet,,https://www.artic.edu/artworks/111780/close-helmet
ger_529,Heinrich Aldegrever,Engraving in black on ivory laid paper,"Wrath, from the Vices",,https://www.artic.edu/artworks/77408/wrath-from-the-vices
ger_530,Albrecht Dürer,Woodcut in black on ivory laid paper,Portrait of Ulrich Varnbüler,,https://www.artic.edu/artworks/22651/portrait-of-ulrich-varnbuler
ger_531,Hans Sebald Beham,Engraving in black on ivory laid paper,"Hercules and Nessus, from The Labors of Hercules",,https://www.artic.edu/artworks/42660/hercules-and-nessus-from-the-labors-of-hercules
ger_532,Erich Heckel,Graphite on ivory laid paper,Seated Female Nude,,https://www.artic.edu/artworks/15184/seated-female-nude
ger_533,Albrecht Dürer,Woodcut in black on tan laid paper,"The Holy Family in Egypt, from The Life of the Virgin",,https://www.artic.edu/artworks/4165/the-holy-family-in-egypt-from-the-life-of-the-virgin
ger_534,Johann Christoph Lischka,"Pen and black and brown ink, with brush and gray wash, over traces of red chalk, on cream laid paper, laid down on ivory laid paper",King Henry of France and Saint Bernard of Clairvaux,,https://www.artic.edu/artworks/3205/king-henry-of-france-and-saint-bernard-of-clairvaux
ger_535,Paul Klee,Etching on cream wove paper,Woman Sowing Weeds,,https://www.artic.edu/artworks/109333/woman-sowing-weeds
ger_536,,Steel and wood,Ahlspiess,,https://www.artic.edu/artworks/116680/ahlspiess
ger_537,Michel Wolgemut,Woodcuts on ivory laid paper,"The Fall of Lucifer and the Rebel Angels (verso); The Gathering of the Angels (recto), pages three and two from the Treasury (Schatzbehalter)",,https://www.artic.edu/artworks/23391/the-fall-of-lucifer-and-the-rebel-angels-verso-the-gathering-of-the-angels-recto-pages-three-and-two-from-the-treasury-schatzbehalter
ger_538,Georg Pencz,Engraving in black on ivory laid paper,"The Triumph of Death, plate five from The Triumphs of Petrarch","The back of this impression of Georg Pencz’s Triumph of Death bears the signature, dated 1676, of Pierre Mariette II, an illustrious connoisseur and printseller who seems to have found the series to be a good investment. Mariette purchased at least one copy of the set before, as the British Museum now possesses both the Triumph of Love and The Triumph of Death signed by Mariette and dated 1666. This image itself is one of the most dramatic in the series, with a scythe-wielding skeleton embodying Death and a terrifying Hellmouth reminiscent of the work of Hieronymus Bosch opening in the distance.",https://www.artic.edu/artworks/77869/the-triumph-of-death-plate-five-from-the-triumphs-of-petrarch
ger_539,Ernst Ludwig Kirchner,Lithograph in green and gold on paper,Poster for Die Brücke,"Fränzi Liegend (about twelve years old when this print was made) and her older sister Marcella were orphans whom Heckel and Ernst Ludwig Kirchner “adopted” as favored models around 1909 in Dresden. Heckel used a single wood block to create this two-color print: the block was cut apart in jigsaw fashion, the pieces inked separately and reassembled, and then printed all at once.",https://www.artic.edu/artworks/29979/poster-for-die-brucke
ger_540,George Grosz,Drypoint on cream wove paper,The End of a Perfect Day,,https://www.artic.edu/artworks/3155/the-end-of-a-perfect-day
ger_541,Martin Schaffner,"Oil on parchment, mounted on panel",Portrait of a Man,,https://www.artic.edu/artworks/59960/portrait-of-a-man
ger_542,Ernst Ludwig Kirchner,Woodcut in black on paper,Portrait of Schames,,https://www.artic.edu/artworks/22660/portrait-of-schames
ger_543,Georg Baselitz,"Watercolor and graphite, with white, black and colored crayons, and black ink on off-white laid paper",Untitled (Saxon Nose),,https://www.artic.edu/artworks/104231/untitled-saxon-nose
ger_544,Paul Klee,Etching on cream wove paper,Plants in the Rain at Night,,https://www.artic.edu/artworks/109345/plants-in-the-rain-at-night
ger_545,Martin Schongauer,Engraving in black on ivory laid paper,The Virgin of the Annunciation,"Martin Schongauer conceived the Angel and the Virgin of the Annunciation as two separate engravings, forming a type of diptych. The angel Gabriel and the Virgin Mary often appeared against a dark ground on the outer wings of altarpieces, painted in a monochromic style called grisaille, which emphasizes the figures’ sculptural relief. Schongauer’s pared-down background replaces the view of Mary’s bedroom usually found in Annunciation scenes. Instead, Mary receives the news of her divine motherhood from the angel with only a book in her hand; the potted lily represents her absolute purity. Schongauer’s treatment of the flowing drapery further underscores the figures’ monumentality.",https://www.artic.edu/artworks/84749/the-virgin-of-the-annunciation
ger_546,Albrecht Dürer,Woodcut in black on ivory laid paper,"The Birth of the Virgin, from The Life of the Virgin",,https://www.artic.edu/artworks/4149/the-birth-of-the-virgin-from-the-life-of-the-virgin
ger_547,Adolphe Schreyer,Oil on canvas,Peasants and Horses,,https://www.artic.edu/artworks/35259/peasants-and-horses
ger_548,Albrecht Altdorfer,Etching in black on ivory laid paper,Landscape with A Double Spruce,"Albrecht Altdorfer was the first German artist to execute pure landscapes. A painter and architectural and metal-work designer in Regensburg, he is most famous for establishing the Danube School of artists devoted to a romantic interest in the natural world, to which Augustin Hirschvogel also belonged.",https://www.artic.edu/artworks/82592/landscape-with-a-double-spruce
ger_549,Hans Bellmer,"Pen and black ink, over graphite, on masonite panel prepared with an ivory ground",Portrait of Wifredo Lam,,https://www.artic.edu/artworks/27038/portrait-of-wifredo-lam
ger_550,Paul Klee,Etching on ivory wove paper,Old Man Counting,,https://www.artic.edu/artworks/109383/old-man-counting
ger_551,Heinrich Aldegrever,Engraving in black on ivory laid paper,Ornamental Design with a Bat in the Centre,,https://www.artic.edu/artworks/77421/ornamental-design-with-a-bat-in-the-centre
ger_552,Paul Klee,"Lithograph in black with additions of blue, red, and green watercolor on cream laid paper",Landscape of Number Trees,,https://www.artic.edu/artworks/109358/landscape-of-number-trees
ger_553,Albrecht Dürer,Woodcut in black on buff laid paper,"The Angel with the Key of the Bottomless Pit, from The Apocalypse",,https://www.artic.edu/artworks/126158/the-angel-with-the-key-of-the-bottomless-pit-from-the-apocalypse
ger_554,Wilhelm Lehmbruck,Drypoint on laid ivory paper,Potiphar’s Wife,,https://www.artic.edu/artworks/24251/potiphar-s-wife
ger_555,August Sander,Gelatin silver print,Girl with Lute,"A professional portraitist based in Cologne, Germany, August Sander had already amassed numerous photographs of farmers and peasants in the surrounding region when he decided in the early 1920s to expand his record and expressly document all classes, occupations, and lifestyles in the nation. This monumental undertaking, to which Sander gave the name People of the Twentieth Century, eventually grew to include more than 600 portraits (and thousands of poses) that formed a “physiognomical time exposure of German man,” in the photographer’s words. Remarkably consistent in their lighting and poses, and hung or reproduced in pairs in Sander’s lifetime, the portraits invite comparative analysis, suggesting limitless types rather than the quite limited typecasting espoused by Nazism, which Sander increasingly opposed.",https://www.artic.edu/artworks/50796/girl-with-lute
ger_556,Albrecht Altdorfer,Woodcut in black on ivory laid paper,Jael and Sisera,"Albrecht Altdorfer depicted the biblical heroine Jael, who killed Sisera, the captain of the king of Canaan’s army, in order to deliver Israel from his troops. She welcomed Sisera to her home when he and his soldiers were fleeing from battle and offered him food and drink. When he fell asleep, she drove a tent spike through his skull so deeply that it pierced the ground below. Jael was heralded and blessed for enabling Israel’s victory.",https://www.artic.edu/artworks/110642/jael-and-sisera
ger_557,Hans Sebald Beham,Engraving in black on ivory laid paper,The Lady and Death,,https://www.artic.edu/artworks/27957/the-lady-and-death
ger_558,Wolfgang Tillmans,"Chromogenic print, from an edition of 10 + 1AP",Lightning II,,https://www.artic.edu/artworks/181128/lightning-ii
ger_559,Albrecht Dürer,Engraving in black on ivory laid paper,The Sea Monster,,https://www.artic.edu/artworks/28216/the-sea-monster
ger_560,Hieronymous Hopfer,Etching in black on paper,Saint Christopher,,https://www.artic.edu/artworks/8113/saint-christopher
ger_561,Gertrud Arndt,Gelatin silver print,"Masked Self-Portrait, 39A, Dessau (Maskenselbstportrait, 39A, Dessau)","The German Bauhaus (1919–33) revolutionized the study of art and design through a rigorous combination of theoretical and practical training across disciplines. Gertrud Arndt came to the Bauhaus in 1923 to study architecture, but like the majority of women who enrolled, she was pushed into the textile department, from which she graduated in 1927. She experimented with photography in her spare time and in 1929 received training from Bauhaus photography instructor Walter Peterhans. Cobbling together accessories and fabric into makeshift costumes, she produced a series of 43 staged self-portraits called Maskenporträts (Masked Portraits). Arndt later claimed she was “simply interested in the face” and its ability to transform the self through costume and expression. Her photographs sketch out a range of female roles and moods: an Asian woman, a grieving widow, a naive young girl, a proper lady, and, in this case, a bewildered vamp.",https://www.artic.edu/artworks/200886/masked-self-portrait-39a-dessau-maskenselbstportrait-39a-dessau
ger_562,Paul Klee,Pen and brown ink on tan laid paper tipped onto tan wove paper.,"Follows with Concern, As Both are Blind",,https://www.artic.edu/artworks/124767/follows-with-concern-as-both-are-blind
ger_563,Albert Renger-Patzsch,Gelatin silver print,Beech Forest in Fall (Büchenwald im Herbst),"Albert Renger-Patzsch approached his subjects in a matter-of-fact style exemplary of the art movement New Objectivity, which flourished in Germany between the wars. Rejecting the artsy manipulations associated with Pictorialism, still widely practiced in the 1920s, he embraced the camera as a neutral tool for documentation, publishing his images in the enormously popular 1928 book The World Is Beautiful. This photograph was among five that Hugh Edwards acquired from the photographer Lotte Jacobi, bringing Renger-Patszch—whom he called “the father of most ‘modern’ subject matter in photography”—into the collection. In a slight departure from the stark realism of many of Renger’s photographs, here the atmospheric fog produces an eerie but sublime experience of the woods.",https://www.artic.edu/artworks/30828/beech-forest-in-fall-buchenwald-im-herbst
ger_564,Albrecht Dürer,Woodcut in black on ivory laid paper,"The Opening of the Fifth and Sixth Seals, from The Apocalypse",,https://www.artic.edu/artworks/4134/the-opening-of-the-fifth-and-sixth-seals-from-the-apocalypse
ger_565,Richard Riemerschmid (Designer),Glazed stoneware,Tureen with Cover,,https://www.artic.edu/artworks/70996/tureen-with-cover
ger_566,Unknown artist (Illustrator),"Woodcut in black, and letterpress in black (recto and verso), on cream laid paper","Jesus Calling Zacchaeus from Geistliche Auslegung des Lebens Jesu Christi (The Spiritual Interpretation of the Life of Christ), Plate 15 from Woodcuts from Books of the 15th Century","This sparely drawn, anonymous woodcut suggests an incomplete design for stained glass. Copies of the complete book, The Spiritual Interpretation of the Life of Christ, were doubtless also offered in a boldly hand-colored version. In this scene (Luke 19: 1-10), Jesus Christ passes through Jericho and notices a wealthy, but diminutive, devotee who has climbed a sycamore tree (drawn here with recognizable seed pods) in order to see him better. Recognizing Zacchaeus’s enthusiasm, Christ invites himself and his entourage to dinner, guaranteeing both his host’s conversion and salvation. German Bible verse translations, simple illustrations, and prayers help the attentive reader along the same path.",https://www.artic.edu/artworks/129315/jesus-calling-zacchaeus-from-geistliche-auslegung-des-lebens-jesu-christi-the-spiritual-interpretation-of-the-life-of-christ-plate-15-from-woodcuts-from-books-of-the-15th-century
ger_567,Adolph Friedrich Erdmann von Menzel,Charcoal and pastel on paper,Head of an Old Man,,https://www.artic.edu/artworks/22638/head-of-an-old-man
ger_568,Kurt Schwitters,"Collage composed of watercolor and oil paint, with a variety of cut, laid and wove paper elements, laid down on cream wood-pulp laminate board, laid down on cream wove paper",Hey Valentine,,https://www.artic.edu/artworks/79061/hey-valentine
ger_569,Paul Klee,Etching on cream wove paper,Little Cosmo,,https://www.artic.edu/artworks/109346/little-cosmo
ger_570,Albrecht Dürer,Woodcut in black on ivory laid paper,"Christ, Man of Sorrows, Mocked by a Soldier, frontispiece from The Large Passion","This woodcut was part of Albrecht Dürer’s famous series of 12 prints detailing the Passion of Christ. Published in 1511, the prints illustrated a text by the monk Benedictus Chelidonius. The frontispiece of the series, Christ, Man of Sorrows, Mocked by a Soldier, takes place in a supernatural setting. The frame of clouds around the scene indicates that Christ has already ascended to heaven, but the presence of his five mortal wounds show that he is still affected by earthly sin.",https://www.artic.edu/artworks/19534/christ-man-of-sorrows-mocked-by-a-soldier-frontispiece-from-the-large-passion
ger_571,Albrecht Dürer,Woodcut in black on ivory laid paper,The Holy Kinship and Two Musical Angels,,https://www.artic.edu/artworks/4175/the-holy-kinship-and-two-musical-angels
ger_572,Loretta Lux,Silver dye-bleach print,The Rose Garden,,https://www.artic.edu/artworks/184032/the-rose-garden
ger_573,Otto Dix,"Graphite, with stumping, on cream laid paper",North German Girl,,https://www.artic.edu/artworks/27364/north-german-girl
ger_574,Albrecht Dürer,Lithograph in black on ivory wove paper,Coat of Arms of Wilhelm and Wolfgang Rogendorf,"Albrecht Dürer made this sizable coat of arms woodcut for the Rogendorf family, whom he met while en route to the Netherlands, where he had the two large blocks for the work cut. The print survives in only one damaged impression, now in the Germanisches Nationalmuseum in Nuremberg. This 19th-century facsimile in the then-new medium of lithography supplies the missing leafage in the lower right and imagines the colored print in black and white. In fact, the surviving sheet’s lavish coloring enhances its heraldic significance: two fields are blue with a golden star above a set of golden battlements; in the others, double-tailed lions appear rampant in red on silver.",https://www.artic.edu/artworks/43937/coat-of-arms-of-wilhelm-and-wolfgang-rogendorf
ger_575,Max Beckmann,Transfer lithograph on tan imitation Japanese paper,"The Night, plate seven from Die Hölle","This print is by far the most well known in the series Hell, reproducing as it does a composition and scene made famous in a painting by Max Beckmann created in March 1919. An average middle-class family is being tortured for no apparent reason by both well-dressed members of German society, like the man in the center, and a working-class figure in a cap at the right. Beckmann revealed, seemingly without comment, the randomness of violence, as well as its everyday quality (exemplified by the “normal” interior). The howling dog to the left parallels the image of hell from the opening print.",https://www.artic.edu/artworks/122388/the-night-plate-seven-from-die-holle
ger_576,Georg Baselitz,"Black and red Conté crayon, over graphite, with smudging and erasing on ivory laid paper",Untitled (Kullervo’s Feet),,https://www.artic.edu/artworks/117316/untitled-kullervo-s-feet
ger_577,"Lucas Cranach, the Elder",Woodcut in black on ivory laid paper,Saint George Standing,,https://www.artic.edu/artworks/53297/saint-george-standing
ger_578,"Lucas Cranach, the Elder","Chiaroscuro woodcut in black with tone block printed in gray-brown, on ivory laid paper",Saint Christopher,,https://www.artic.edu/artworks/4029/saint-christopher
ger_579,,Steel and brass,Mail Cape (Bishop’s Mantle),,https://www.artic.edu/artworks/116846/mail-cape-bishop-s-mantle
ger_580,,Steel,Cape of Mail (“Bishop’s Mantle”),,https://www.artic.edu/artworks/116847/cape-of-mail-bishop-s-mantle
ger_581,Käthe Kollwitz,Lithograph on dark handmade paper,Self-Portrait,,https://www.artic.edu/artworks/16739/self-portrait
ger_582,Johann Heintz,"Pen and black ink and brush and gray wash, over red chalk and traces of graphite, on cream laid paper, laid down on tan wove paper (pieced)",Battle of the Milvian Bridge,,https://www.artic.edu/artworks/84477/battle-of-the-milvian-bridge
ger_583,Georg Scholz,Lithograph on grayish-ivory wove paper,Newspaper Carriers (Work Disgraces),,https://www.artic.edu/artworks/190423/newspaper-carriers-work-disgraces
ger_584,Paul Klee,"Lithograph on cream wove paper, laid down on tan wove paper",Outdoor Restaurant,,https://www.artic.edu/artworks/109341/outdoor-restaurant
ger_585,Otto Dix,Drypoint on paper,"A Funeral, plate six from Death and Resurrection",,https://www.artic.edu/artworks/122753/a-funeral-plate-six-from-death-and-resurrection
ger_586,,Steel,Two-Handed Sword,,https://www.artic.edu/artworks/116469/two-handed-sword
ger_587,Hans Bellmer,Etching on paper,Frontpiece of catalogue Kestner-Gesellschaft (Hanover),,https://www.artic.edu/artworks/51664/frontpiece-of-catalogue-kestner-gesellschaft-hanover
ger_588,Käthe Kollwitz,Etching and aquatint in brown on tan wove paper,The Carmagnole,,https://www.artic.edu/artworks/149054/the-carmagnole
ger_589,Albrecht Dürer,Engraving in black on ivory laid paper,Peasant Couple Dancing,,https://www.artic.edu/artworks/4097/peasant-couple-dancing
ger_590,Ludolph Büsinck,Chiaroscuro woodcut from two blocks in black and beige on ivory laid paper,"Aeneas Carrying His Father, Anchises","Like Goltzius, though less dynamic in his execution, Ludolph Büsinck used the chiaroscuro woodcut technique to depict Aeneas fleeing Troy as it burns while shouldering his elderly father, Anchises. An interesting feature of this print is the correction made in the face of Aeneus’s son Ascanius, in the lower right of the composition. A plug was used to replace a section of the original woodblock, perhaps to reorient the face of the child toward the central action of the scene. Since all known impressions of this print include the same change, the preliminary version of this passage remains a mystery.",https://www.artic.edu/artworks/12581/aeneas-carrying-his-father-anchises
ger_591,Karl Schmidt-Rottluff,Woodcut on cream wove paper,Kneeling Woman,,https://www.artic.edu/artworks/86277/kneeling-woman
ger_592,Otto Dix,"Etching, aquatint and drypoint on cream laid paper","Night-time Encounter with a Madman, from War",,https://www.artic.edu/artworks/152891/night-time-encounter-with-a-madman-from-war
ger_593,Albrecht Dürer,Engraving in black on off-white laid paper,Young Woman Attacked by Death (The Ravisher),"Albrecht Dürer produced a number of early prints warning against the pleasures of the flesh, including the Ill-Assorted Couple. Perhaps the most insidious to modern eyes is this seductively velvety engraving. The ravisher’s young victim writhes on a fence much like the one often occupied by the Virgin Mary in other Dürer engravings. Whether she has fallen into the hands of a lusty wild man or Death himself, both her virtue and her life are clearly at stake. In a maelstrom of violent wind, his bony arms reach around her waist and pull tightly at her skirts.",https://www.artic.edu/artworks/78623/young-woman-attacked-by-death-the-ravisher
ger_594,Gerhard Richter,Screenprint and offset on white wove paper,"Hotel Diana, from Capitalist Realism",,https://www.artic.edu/artworks/116586/hotel-diana-from-capitalist-realism
ger_595,"Israhel van Meckenem, the younger",Engraving on paper,Ornament with the Tree of Jesse,"Israhel van Meckenem produced many densely engraved ornament prints in which tendrils overflow with wild men and women roaming the forests. The present engraving, however, depicts a sacred subject—the symbolic Tree of Jesse (the father of King David). Jesse sleeps on the central mound, but a dreamlike vision of his progeny extends upward beyond David to Christ and his mother. This visual genealogy was used to prove Christ’s royal lineage and was also one of the earliest interpretations of a “family tree.”",https://www.artic.edu/artworks/27009/ornament-with-the-tree-of-jesse
ger_596,Martin Schongauer,Engraving on paper,"St. Thomas, from Apostles",,https://www.artic.edu/artworks/3895/st-thomas-from-apostles
ger_597,Willi Baumeister,Gelatin silver print,Nude,"Trained as an architectural painter, Willi Baumeister expanded his practice to include printmaking, typography, and set design. He came to international prominence in the 1920s with work that embraced abstract form and ideographic signs, but when the Nazis gained power in 1933, his art was deemed “degenerate” and he was dismissed from his teaching post in Frankfurt. Although Baumeister’s photographs mostly served as an experimental adjunct to his work in other media, this image is more than a mere study: through the use of unusual cropping and complex negative shapes, a female nude verges into abstract design.",https://www.artic.edu/artworks/147606/nude
ger_598,Albrecht Dürer,Woodcut in black on tan laid paper,"The Opening of the Fifth and Sixth Seals, from The Apocalypse",,https://www.artic.edu/artworks/122252/the-opening-of-the-fifth-and-sixth-seals-from-the-apocalypse
ger_599,Thomas Struth,Chromogenic print; edition number six of ten,"The Restorers at San Lorenzo Maggiore, Naples",,https://www.artic.edu/artworks/184211/the-restorers-at-san-lorenzo-maggiore-naples
ger_600,Martin Schongauer,Engraving on paper,St. Michael,,https://www.artic.edu/artworks/3932/st-michael
ger_601,Max Pechstein,Gouache and black crayon on yellow wove paper,Three Nudes in the Forest,"As a member of the Brücke (Bridge) artist’s society Max Pechstein often vacationed with the group in the German countryside. In the summer of 1911, he joined the group in the remote fishing village of Nida (in present-day Lithuania) on the Baltic Sea. Away from the confines of the city Brücke artists celebrated a return to nature by bathing in the nude outdoors. Here, three nude women are depicted in an idyllic setting. Pechstein’s pitched red tent is visible in the background.",https://www.artic.edu/artworks/186329/three-nudes-in-the-forest
ger_602,Paul Klee,"Graphite on cream wove paper, laid down on cream card",Portrait Sketch of a Clown,,https://www.artic.edu/artworks/150808/portrait-sketch-of-a-clown
ger_603,Wilhelm Tischbein,Oil on canvas,Helen,,https://www.artic.edu/artworks/227534/helen
ger_604,Käthe Kollwitz,Lithograph on paper,Woman Giving her Hand to Death,,https://www.artic.edu/artworks/16742/woman-giving-her-hand-to-death
ger_605,Albrecht Dürer,Woodcut in black on ivory laid paper,Celestial Map of the Southern Sky (Imagines coeli meridionalis),"Maps of the heavens and earth were one of the first printed instruments to be turned into three-dimensional objects—as globes. These began with functional two-dimensional diagrams that were cut out in elongated globe-gore strips and pasted onto spheres. While Dürer’s maps of the northern and southern skies were not meant to be mounted in this way, they were copied hundreds of times for this purpose. Produced as a presentation gift along with a view of the terrestrial globe for a humanist advisor to Emperor Maximilian, the dual view depicts the heavens as if the viewer were observing them from space.",https://www.artic.edu/artworks/106549/celestial-map-of-the-southern-sky-imagines-coeli-meridionalis
ger_606,Martin Schongauer,Engraving in black on ivory laid paper,The Death of the Virgin,"In this touching interpretation of the death of Jesus’s mother Mary, Martin Schongauer displays a painter’s sense of light and shadows. He outlines the figures and fabric folds with a continuous line, implying volume and depth through fine hatching, following the contours of his forms.Schongauer was the first graphic artist from Germany originally trained as painter. When he decided to make engravings, a logical choice given that his father was a goldsmith, Schongauer was not constrained by traditional techniques. Executed with conviction and compositional clarity, Schongauer’s masterful engravings were widely distributed, influencing generations of printmakers.",https://www.artic.edu/artworks/29317/the-death-of-the-virgin
ger_607,"Lucas Cranach, the Elder",Engraving in black on cream laid paper,"Luther as an Augustinian Friar, with Cap","Perhaps Lucas Cranach’s most famous and most copied print, this profile portrait of Martin Luther was an accurate likeness; the artist and the Reformer were friends. Luther appears in his doctoral cap, as he taught at the University of Wittenberg. Possibly made to commemorate the scholar’s radical performance at the Diet of Worms, the print circulated when Luther was presumed dead but was actually in hiding, translating the New Testament into German. The Latin inscription translates as, “Lucas’s work is this picture of Luther’s mortal form; but he himself expressed his spirit’s eternal form,” and closes with Cranach’s flying serpent insignia.",https://www.artic.edu/artworks/30275/luther-as-an-augustinian-friar-with-cap
ger_608,Martin Schongauer,Engraving on paper,"The Crucifixion with the Holy Women, St. John and Roman Soldiers",,https://www.artic.edu/artworks/29305/the-crucifixion-with-the-holy-women-st-john-and-roman-soldiers
ger_609,Otto Dix,"Etching and aquatint, with open bite, on cream laid paper","Wounded Soldier (Autumn 1916, Bapaume), from War","This image is one of the most frequently reproduced works from the series War. Otto Dix once again showed his sophisticated use of surface and etching effects. But this work also highlights the unrelenting focus on death and decay that punctuates the folio of prints. In the trench, whether one was alive or dead seems to have made little difference, and the repetition of the grotesque nature of war emphasizes the massive scale of the slaughter as well as the clear antiwar message of War as a whole.",https://www.artic.edu/artworks/152875/wounded-soldier-autumn-1916-bapaume-from-war
ger_610,Henri Heran,Color woodcut from three blocks and lithograph in blue on tan wove paper,Playful Mermaid,,https://www.artic.edu/artworks/209623/playful-mermaid
ger_611,Paul Klee,Etching and aquatint on cream wove paper,Charm (Feminine Grace),,https://www.artic.edu/artworks/109336/charm-feminine-grace
ger_612,Käthe Kollwitz,"Etching, drypoint and soft ground in brown on ivory wove paper","The Prisoners, plate 7 from the portfolio “The Peasants War”",,https://www.artic.edu/artworks/152721/the-prisoners-plate-7-from-the-portfolio-the-peasants-war
ger_613,Heinrich Hauser,Gelatin silver print,"Eiffel Tower, Paris",,https://www.artic.edu/artworks/105262/eiffel-tower-paris
ger_614,,"Steel, wood, and brass",Cavalry Sword with Calendar Blade,,https://www.artic.edu/artworks/117186/cavalry-sword-with-calendar-blade
ger_615,Martin Schongauer,Engraving on paper,The First Foolish Virgin,,https://www.artic.edu/artworks/3971/the-first-foolish-virgin
ger_616,Paul Klee,Etching on cream wove paper,"Prickle, The Clown",,https://www.artic.edu/artworks/109385/prickle-the-clown
ger_617,Käthe Kollwitz,Transfer lithograph in black on cream wove paper,Self-Portrait,,https://www.artic.edu/artworks/16737/self-portrait
ger_618,Paul Klee,Etching on cream Japanese paper,Little Castle in the Air,,https://www.artic.edu/artworks/109349/little-castle-in-the-air
ger_619,Georg Pencz,Engraving in black on ivory laid paper,Virginius Killing His Daughter,,https://www.artic.edu/artworks/109051/virginius-killing-his-daughter
